identifier,name,title,description,distribution,webService,dataDictionary,keyword,modified,publisher,contactPoint,mbox,accessLevel,landingPage,temporal,api,version,recordCount,bureauCode,programCode,accessLevelComment,license,spatial,theme,dataQuality,accrualPeriodicity,language,primaryITInvestmentUII,references,issued,systemOfRecords,depDate,depApiMessage,depWebMessage,depNewURL,hash,lastRefresh,id
openfema-4,HazardMitigationGrants,Hazard Mitigation Grants,"The dataset contains funded (financial obligation to grantee) Hazard Mitigation projects. Open projects still under pre-obligation processing are not represented. For more information on the Hazard Mitigation Program, please visit: https://www.fema.gov/grants/mitigation.

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.                                                                              This OpenFEMA dataset will no longer be updated and will be archived.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/HazardMitigationGrants,https://www.fema.gov/openfema-data-page/hazard-mitigation-grants-v1,"mitigation, grant, hazard, hmgp",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,,1,1,,024:70,024:039,,,,Hazard Mitigation,true,,en-US,,,,,2019-01-01T05:00:00.000Z,This OpenFEMA dataset will no longer be updated and will be archived.,This OpenFEMA dataset will no longer be updated and will be archived.,https://www.fema.gov/about/openfema/data-sets,751673e91669c2902061fa07ea4db88d,2020-09-10T18:31:15.674Z,5dd723598ca22d24d423eb8b
openfema-24,FemaWebDisasterSummaries,FEMA Web Disaster Summaries,"This data set contains financial assistance values, including the number of approved applications, as well as individual, public assistance, and hazard mitigation grant amounts.

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/FemaWebDisasterSummaries,https://www.fema.gov/openfema-data-page/fema-web-disaster-summaries-v1,"disaster, declarations, fema website, disaster summaries, public assistance, individual assistance, hazard mitigation",2019-07-19T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/disasters,1953-05-01/,1,1,3411,024:70,024:039,,,,Disaster Information,true,R/PT20M,en-US,,,2012-01-01T00:00:00.000Z,,,,,,7ec86146dda018b8dfc243fd18f832b5,2022-04-06T00:22:32.282Z,5dd723598ca22d24d423ebab
openfema-7,DataSets,OpenFEMA Data Sets,"Metadata for the OpenFEMA API data sets. It contains attributes regarding the published datasets including but not limited to update frequency, description, version, and deprecation status.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/OpenFemaDataSets,https://www.fema.gov/openfema-data-page/openfema-data-sets-v1,"metadata, data dictionary, open, data, fema, datasets, opengov, grant data, disasters, api",2020-03-25T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/about/reports-and-data/openfema,,1,1,36,024:70,024:039,,,,Miscellaneous,true,irregular,en-US,,,2013-01-01T05:00:00.000Z,,,,,,0e85c857c8312bb8fa49860a8d73f49b,2022-03-03T21:21:13.766Z,5dd723598ca22d24d423eb8f
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,Registration Intake and Individuals Household Program (RI-IHP),"This submission contains aggregated, non-PII data from Housing Assistance Program reporting authority within FEMA's Recovery Directorate to share data on registrations and Individuals and Households Program (IHP) for declarations starting from disaster declaration number 4116, segmented by city where registration is valid. Additional core data elements include: valid call center registrations, valid web registrations, valid mobile registrations, IHP eligible, IHP amount, HA eligible, HA amount, ONA eligible, and ONA amount.

Please Note: IHP is intended to help with critical expenses that cannot be covered in other ways. The IHP is not intended to return all homes or belongings to their pre-disaster condition. In some cases, IHP may only provide enough money, up to the program limits, for you to return an item to service. Secondary or vacation residencies do not qualify. Visit for more information about the program: https://www.fema.gov/assistance/public. 

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. 

The financial information is derived from NEMIS and not FEMA's official financial systems.  Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov;  this dataset is not intended to be used for any official federal financial reporting.

Citation: The Agency's preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data section: https://www.fema.gov/about/openfema/terms-conditions.

This dataset is not intended to be an official federal report, and should not be considered an official federal report. 



If you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/RegistrationIntakeIndividualsHouseholdPrograms,https://www.fema.gov/openfema-data-page/registration-intake-and-individuals-household-program-v1,"Registration,Applicants,Intake,IHP,HA,Amount,Award,Referred,Eligible",2020-06-25T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/individual-disaster-assistance ,2004-08-01/,1,1,,024:70,024:039,,,,Individual Assistance,TRUE,R/P1W,en-US,,,2014-07-13T04:00:00.000Z,,2020-09-12T04:00:00.000Z,This dataset has been deprecated and will no longer be available by the date specified. It is recommended that the new endpoint be used. See the OpenFEMA documentation for additional information.,"A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by September 12, 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-data-page/registration-intake-and-individuals-household-program-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage. 

If you have any questions, please contact the OpenFEMA team at OpenFEMA@fema.dhs.gov.",https://www.fema.gov/openfema-data-page/registration-intake-and-individuals-household-program-v2,3405be85a89efe28ba7430efdc315460fdd8a5c1,2021-11-05T17:21:25.348Z,5dd723598ca22d24d423eba7
openfema-10,DisasterDeclarationsSummaries,Disaster Declarations Summaries,"FEMA Disaster Declarations Summary is a summarized dataset describing all federally declared disasters. This dataset lists all official FEMA Disaster Declarations, beginning with the first disaster declaration in 1953 and features all three disaster declaration types: major disaster, emergency, and fire management assistance. The dataset includes declared recovery programs and geographic areas (county not available before 1964; Fire Management records are considered partial due to historical nature of the dataset).

Please note the unique structure of the disaster sequencing (due to a numbering system that originated in the 1950's-1970's):
0001-1999     Major Disaster Declaration
2000-2999     Fire Management
3000-3999     Emergency Declaration (Special Emergency)
4000-              Major Disaster Declaration

For more information on the disaster declaration process, see https://www.fema.gov/disasters and https://www.fema.gov/disasters/how-declared 

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The dataset is primarily composed of historical data that was manually entered into NEMIS after it launched in 1998. The financial information is derived from NEMIS and not FEMA's official financial systems.

Due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as www.usaspending.gov. This dataset is not intended to be used for any official federal financial reporting.

A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the end of April 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-dataset-disaster-declarations-summaries-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage. 

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/DisasterDeclarationsSummaries,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v1,"disaster, declaration, fema, nemis, emergency",2019-09-26T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/disasters,1953-05-01/,1,1,62734,024:70,024:039,,,,Disaster Information,true,R/PT20M,en-US,,,,,2020-04-30T04:00:00.000Z,This dataset has been deprecated and will no longer be available by the date specified. It is recommended that the new endpoint be used. See the OpenFEMA documentation for additional information.,"A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the end of April 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-dataset-disaster-declarations-summaries-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage. 

If you have any questions, please contact the OpenFEMA team at OpenFEMA@fema.dhs.gov.",https://www.fema.gov/openfema-dataset-disaster-declarations-summaries-v2,21e23a99885fdc703538eb5a042435a6,2022-04-06T00:22:10.798Z,5dd723598ca22d24d423eb9b
openfema-25,FemaWebDisasterDeclarations,FEMA Web Disaster Declarations,"This data set contains a list of FEMA recognized areas affected by a disaster, and the type of disaster assistance the area is eligible for.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/FemaWebDisasterDeclarations,https://www.fema.gov/openfema-data-page/fema-web-disaster-declarations-v1,"disaster, declaration, fema website",2018-11-09T05:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/disasters,1953-05-01/,1,1,4655,024:70,024:039,,,,Disaster Information,true,R/PT20M,en-US,,,,,,,,,139b3d820f9c8062693ba556dbb9ba99,2022-04-06T00:21:22.286Z,5dd723598ca22d24d423ebaf
openfema-23,IndividualAssistanceHousingRegistrantsLargeDisasters,Individual Assistance Housing Registrants - Large Disasters,"1.1. What is the data in the submission?

Individual Assistance is provided by the Federal Emergency Management Agency (FEMA) to individuals and families who have sustained losses due to disasters.

Homeowners, renters, and business owners in designated counties who sustained damage to their homes, vehicles, personal property, businesses, or inventory as a result of a federally declared disaster may apply for disaster assistance.

Disaster assistance may include grants to help pay for temporary housing, emergency home repairs, uninsured and underinsured personal property losses, and medical, dental, and funeral expenses caused by the disaster, along with other serious disaster-related expenses.

Disaster assistance grants are not taxable income and will not affect eligibility for Social Security, Medicaid, medical waiver programs, welfare assistance, Temporary Assistance for Needy Families, food stamps, Supplemental Security Income, or Social Security Disability Insurance.

This dataset contains detailed non-PII data on the Individuals and Households Program (IHP). FEMA provides assistance to individuals and households through the Individual Assistance (IA) program, which includes all of the following: Mass Care and Emergency Assistance (MC/EA); Crisis Counseling Assistance and Training Program (CCP); Disaster Unemployment Assistance (DUA); Disaster Legal Services (DLS); Disaster Case Management (DCM); and Individuals and Households Program (IHP). IHP is comprised of two categories of assistance: Housing Assistance (HA) and Other Needs Assistance (ONA). For more information read FEMA's IHP unified guidance: https://www.fema.gov/sites/default/files/2020-05/IHP_Unified_Guidance_FINAL_09272016_0.pdf

Individual data elements and descriptions are listed in the metadata information within the dataset.

1.2. How is it generated?

The data is derived from the National Emergency Management Information System (NEMIS). The system has been used since 1998 to process all cases for FEMA's Individual Assistance (IA) program as the system of record. The dataset was extracted using FEMA's Enterprise Data Warehouse to ensure reliable, uniform data.

1.3. How can the data be used?

The data can be used to analyze FEMA's IA program response attributes. This could particularly help local and state governments and non-governmental organizations put together applications for funding from the Housing and Urban Development's (HUD) Community Development Block Grants (CDBG) program for rebuilding efforts during and after major disaster declarations. This data was instrumental in Hurricane Sandy community rebuilding and is designed for use in the 2017 hurricane season recovery and beyond.

OpenFEMA customers can comprehensively identify data trends that demonstrate needs of particular communities. For example, large numbers of households with elderly residents in areas susceptible to flooding who may need specific design considerations in home elevation, or low-income renters concentrated in communities where additional assistance may be needed to improve recovery.

Community groups in Texas assisting survivors with their recovery must have accurate and comprehensive data to allocate resources and design recovery programs to accurately and fairly meet the true needs of Texans, particularly the most vulnerable households and communities. The public must have access to this data in order to understand and evaluate state and local recovery plans, and advocate for an effective and equitable recovery.

Citation: The Agency's preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data section: https://www.fema.gov/about/openfema/terms-conditions.

Please note that there may be some inconsistent address format and systems, address and location reporting translation/miscues, and standard FEMA Geolocation algorithms ill fitted to O-CONUS addresses. Addresses in Puerto Rico and the way they are reported or even understood by survivors and local officials do not match well with the standard use Geocoders (algorithms that take an address and assign it to its  coordinate (x, y/latitudal, longitudinal location on the earth)). When geocoders cannot find an on structure/parcel/point match they tend to place a point at the geographic center of various polygon boundaries (zip code, City/barrio, Municipio, etc.), this at least puts the point in the vicinity of the address provided.  This is done from a spatial analytics perspective which will still allow the point to be count in an aggregate and still be useful in helping to formulate the bigger picture.

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. 

Any financial information is derived from NEMIS and not FEMA's official financial systems.  Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

This dataset is not intended to be an official federal report, and should not be considered an official federal report.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/IndividualAssistanceHousingRegistrantsLargeDisasters,https://www.fema.gov/openfema-data-page/individual-assistance-housing-registrants-large-disasters-v1,IndividualAssistance,2021-07-22T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/individual-disaster-assistance,,1,1,6367276,024:70,024:039,,,,Individual Assistance,true,R/P1W,en-US,,,,,,,,,2da437b6168c118579c06dfeba5d07d52c812f07,2022-04-04T17:44:45.999Z,5dd723598ca22d24d423ebb7
openfema-47,DisasterDeclarationsSummaries,Disaster Declarations Summaries,"FEMA Disaster Declarations Summary is a summarized dataset describing all federally declared disasters. This dataset lists all official FEMA Disaster Declarations, beginning with the first disaster declaration in 1953 and features all three disaster declaration types: major disaster, emergency, and fire management assistance. The dataset includes declared recovery programs and geographic areas (county not available before 1964; Fire Management records are considered partial due to historical nature of the dataset).

Please note the unique structure of the disaster sequencing (due to a numbering system that originated in the 1950's-1970's):
0001-1999     Major Disaster Declaration
2000-2999     Fire Management
3000-3999     Emergency Declaration (Special Emergency)
4000-              Major Disaster Declaration

For more information on the disaster declaration process, see https://www.fema.gov/disasters and https://www.fema.gov/disasters/how-declared 

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The dataset is primarily composed of historical data that was manually entered into NEMIS after it launched in 1998. The financial information is derived from NEMIS and not FEMA's official financial systems.

Due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov. This dataset is not intended to be used for any official federal financial reporting.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v2/DisasterDeclarationsSummaries,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,"disaster, declaration, fema, nemis, emergency",2018-11-15T05:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/disasters,1953-05-01/,1,2,62973,024:70,024:039,,,,Disaster Information,true,R/PT20M,en-US,,,,,,,,,4107fe5d220b31bb7bfcbb18f4dc8328,2022-04-06T00:23:05.673Z,5dd723598ca22d24d423ebc3
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,Hazard Mitigation Grant Program - Property Acquisitions,"This dataset lists properties from completed acquisition projects funded under the Hazard Mitigation Grant Program (HMGP). The HMGP provides grants to states and local governments to implement long-term hazard mitigation measures after a major disaster declaration. Acquisition projects funded under the Hazard Mitigation Grant Program (HMGP) are voluntary and one is under no obligation to sell their home. Acquisition projects are based on the principle of fair compensation for property. Property acquisitions present owners with an opportunity to recoup a large part of their investment in property that probably has lost some, if not most of its value due to damage after a disaster. Under the Stafford Act, any land purchased with Hazard Mitigation Grant Program funds must be restricted to open space, recreational, and wetlands management uses in perpetuity

Acquisition or Buyout projects, while 75 percent funded by FEMA, are administered by the State and local communities. FEMA does not buy properties directly from the property owners. Communities may offer homeowners who agree to participate in a buyout project up to the fair market value of the home before the disaster struck. A licensed appraiser hired by the community determines the fair market value. No one is obligated to sell their home; these are transactions and prices that both the property owner and communities agreed on. For More information on HMGP please visit https://www.fema.gov/grants/mitigation.

Missing values - In some cases the projects are closed and the data was simply not provided by the sub-grantee or the Grantee and/or entered into the HMGP system. It is likely available as part of the paper file which is considered the file of record. While it is strongly encouraged, it is not required for this data to be provided in the HMGP system for the project to be closed out. For more information on the Hazard Mitigation Assistance - Property Acquisition (buyouts) visit https://www.fema.gov/grants/mitigation. This dataset is not intended to be used for any official federal financial reporting.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/HazardMitigationGrantProgramPropertyAcquisitions,https://www.fema.gov/openfema-data-page/hazard-mitigation-grant-program-property-acquisitions-v1,"mitigation, hmgp, property, buyouts, acquisitions, hma, hazard, assistance, fema, disaster",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,,1,1,,024:70,024:039,,,,,true,,en-US,,,,,2019-01-01T05:00:00.000Z,This OpenFEMA dataset will no longer be updated and has been archived.,This OpenFEMA dataset will no longer be updated and has been archived.,https://www.fema.gov/about/openfema/data-sets,d629f8b599d361f316aec7d0f4bd9c94,2020-09-10T18:31:15.506Z,5dd723598ca22d24d423ebcb
openfema-27,HazardMitigationAssistanceProjects,Hazard Mitigation Assistance Projects,"This dataset contains funded projects (financial obligation to grantee) under the Hazard Mitigation Assistance (HMA) grant programs. FEMA administers three programs that provide funding for eligible mitigation planning and projects to reduce disaster losses and protect life and property from future disaster damages. The three programs are the Hazard Mitigation Grant Program (HMGP), Flood Mitigation Assistance (FMA) grant program, and Pre-Disaster Mitigation (PDM) grant program. This dataset also contains data from the HMA grant programs that were eliminated by the Biggert-Waters Flood Insurance Reform Act of 2012 (BW-12): Repetitive Flood Claims (RFC) grant program and Severe Repetitive Loss (SRL) grant program. For more information on the Hazard Mitigation Assistance grant programs, please visit: https://www.fema.gov/grants/mitigation.

This is raw, unedited data from FEMA's mitigation grant systems (NEMIS-MT and e-Grants) and as such is subject to a small percentage of human error. The financial information is derived from FEMA's mitigation grant systems and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.


A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the end of April 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-projects-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage. 

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/HazardMitigationAssistanceProjects,https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-projects-v1,"mitigation, hazard, disaster, non-disaster, grant, subapplication, project, property, assistance, HMA, HMGP, PDM, LPDM, FMA, SRL, RFC",,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,1989-01-01/,1,1,30644,024:70,024:039,,,,Hazard Mitigation,true,R/P1D,en-US,,,2018-03-09T05:00:00.000Z,,2020-04-30T04:00:00.000Z,This dataset has been deprecated and will no longer be available by the date specified. It is recommended that the new endpoint be used. See the OpenFEMA documentation for additional information.,"A newer version of this OpenFEMA data set has been released. This older dataset version will no longer be updated and will be archived by the end of April 2020. The following page details the latest version of this data set: https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-projects-v2. CSV and JSON Files can be downloaded from the 'Full Data' section.

To access the dataset through an API endpoint, visit the 'API Endpoint' section of the above page. Accessing data in this fashion permits data filtering, sorting, and field selection. The OpenFEMA API Documentation page provides information on API usage.",https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-projects-v2,c69cb63c9a63f69eaeef620368d66dbf,2022-04-05T16:35:44.458Z,5dd723598ca22d24d423ebcf
openfema-9,PublicAssistanceApplicants,Public Assistance Applicants,"This dataset lists summarized Applicant (sub-grantee) information that supplements the 'Public Assistance Funded Projects Detail' dataset.

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. 

Any financial information is derived from NEMIS and not FEMA's official financial systems.  Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

This dataset is not intended to be an official federal report, and should not be considered an official federal report. 

Citation: The Agency's preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data  section: https://www.fema.gov/about/openfema/terms-conditions.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/PublicAssistanceApplicants,https://www.fema.gov/openfema-data-page/public-assistance-applicants,"public,assistance,grant,applicant,grantee,fund,projectsfema,nemis,mitigation,fema",2019-06-04T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/assistance/public,1980-02-01/,1,1,176797,024:70,024:039,,,,Public Assistance,true,R/P1D,en-US,,,7/15/2010,,,,,,21b0c88244b36cb5cc4c62e713c6087560eb5f08,2022-04-05T16:35:28.940Z,5dd723598ca22d24d423ebbf
openfema-2,PublicAssistanceFundedProjectsDetails,Public Assistance Funded Projects Details,"The Public Assistance Funded Projects Details dataset contains obligated (financial obligation to grantee) Public Assistance projects, lists public assistance recipients designated as applicants in the data, and a list of every funded, individual project, called project worksheets. Open projects still under pre-obligation processing are not represented.

FEMA provides supplemental Federal disaster grant assistance for debris removal, emergency protective measures, and the repair, replacement, or restoration of disaster-damaged, publicly owned facilities and the facilities of certain Private Non-Profit (PNP) organizations through the PA Program (CDFA Number 97.036). The PA Program also encourages protection of these damaged facilities from future events by providing assistance for hazard mitigation measures during the recovery process.

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems, and due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as www.usaspending.gov. This dataset is not intended to be used for any official federal financial reporting.                 

The data has been incorporated into a graphic visualization at Public Assistance Program Summary of Obligations: https://www.fema.gov/data-visualization/public-assistance-program-summary-obligations. Questions pertaining to the data visualizations should be addressed to EnterpriseAnalytics@fema.dhs.gov

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsDetails,https://www.fema.gov/openfema-data-page/public-assistance-funded-projects-details-v1,"public, assistance, mitigation, grants, sub-grantee, applicant, disaster, hazard",2019-05-31T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/assistance/public,1980-02-01/,1,1,760609,024:70,024:039,,,,Public Assistance,true,R/P1D,en-US,,,2010-07-15T04:00:00.000Z,,,,,,098468596ff79b2f746c75af954c89e1,2022-04-05T16:43:00.918Z,5dd723598ca22d24d423ebb3
openfema-30,HazardMitigationGrantProgramDisasterSummaries,Hazard Mitigation Grant Program - Disaster Summaries,"The dataset contains disaster level financial information for FEMA's Hazard Mitigation Grant Program (HMGP). The purpose of HMGP is to help communities implement hazard mitigation measures following a Presidential Major Disaster Declaration in the areas of the State, Tribe, or Territory requested by the Governor or Tribal Executive. For more information on the Hazard Mitigation Grant Program, please visit: https://www.fema.gov/grants/mitigation

Additional disaster level information can be found here: https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2

Information on projects funded under the Hazard Mitigation Grant Program can found here: https://www.fema.gov/openfema-data-page/hazard-mitigation-assistance-projects-v2

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.

Missing values - In some cases data was not provided by the subgrantee (subrecipient), grantee (recipient) and/or entered into the FEMA mitigation grant systems. The information is likely available as part of the paper file which is considered the file of record.

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.' For inquiries about FEMA's Hazard Mitigation Grant Program data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov and FEMA-HMAAnalytics@fema.dhs.gov.",,https://www.fema.gov/api/open/v1/HazardMitigationGrantProgramDisasterSummaries,https://www.fema.gov/openfema-data-page/hazard-mitigation-grant-program-disaster-summaries-v1,"mitigation, hazard, disaster, grant, subapplication, assistance, HMGP",2019-06-04T04:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/grants/mitigation,1992-11-01/,1,1,1830,024:70,024:039,,,,Hazard Mitigation,true,R/P1D,en-US,,,2019-06-10T04:00:00.000Z,,,,,,95c7fa5ff320745aaabc929ed6eae1a7,2022-04-05T16:36:00.717Z,5dd723598ca22d24d423ebbb
